sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,0,0,1,4,4",11,11,11,11,11
"0,3,2,0,3,3",16,13,13,14,14
"4,1,3,2,0,1",27,17,17,17,17
"2,0,0,2,2,2",10,9,9,10,9
"0,4,3,1,2,0",25,16,16,16,16
"0,0,1,3,3,2",13,13,13,13,13
"0,0,0,3,4,1",16,14,14,14,14
"2,1,2,0,0,1",15,12,12,13,13
"4,2,1,4,3,3",22,19,19,19,20
"4,2,3,2,3,4",21,18,20,20,20
"0,4,2,1,4,4",18,15,15,15,16
"0,4,2,3,0,1",24,16,16,16,16
"3,0,0,3,0,0",12,10,10,11,10
"3,4,2,3,4,2",23,18,20,20,20
"3,2,1,0,2,0",21,14,14,14,14
"0,0,1,4,4,4",11,11,11,11,11
"0,0,0,3,2,0",14,11,11,11,11
"0,0,0,2,2,2",8,8,8,8,8
"3,0,0,2,1,0",18,12,12,12,12
"0,0,0,1,2,4",13,13,13,13,13
"0,0,1,1,2,4",13,13,13,13,13
"3,2,3,1,4,2",23,19,20,21,21
"0,0,0,2,4,2",13,12,12,12,12
"0,0,1,4,4,1",12,12,12,12,12
"2,0,0,0,2,0",11,9,9,10,9
"0,2,1,2,1,0",14,12,12,13,13
"4,1,0,1,0,4",18,14,14,17,14
"4,2,1,4,4,0",21,16,16,16,17
"0,0,2,2,2,2",8,8,8,8,8
"3,2,3,0,2,2",17,14,15,16,15
"0,0,0,3,2,1",15,12,12,12,12
"4,1,3,4,1,3",22,17,19,19,19
"0,0,3,0,3,0",12,10,10,11,10
"1,2,1,1,1,2",11,10,10,11,10
"3,0,2,0,3,3",16,13,13,14,14
"2,3,0,3,2,0",18,14,14,16,14
"1,1,3,0,0,3",13,12,12,13,13
"3,2,4,3,1,2",25,19,20,21,21
"3,1,3,1,0,0",15,13,13,14,14
"3,4,2,2,4,3",20,18,20,20,20
"3,2,0,3,2,0",20,14,15,16,15
"1,3,0,2,1,0",20,13,13,13,13
"4,3,2,1,0,0",26,16,16,16,16
"1,3,1,2,3,3",16,14,14,15,15
"3,4,2,1,4,4",23,18,18,18,19
"1,2,1,1,2,2",11,10,10,11,10
"0,0,1,1,1,2",9,9,9,9,9
"3,4,2,1,0,0",25,16,16,16,16
"2,0,0,2,2,0",11,10,10,11,10
"2,3,1,3,2,1",19,15,17,18,17
"3,1,1,1,3,1",13,11,12,12,12
"0,2,0,2,0,0",11,9,9,10,9
"0,0,0,0,2,1",10,9,9,9,9
"2,4,1,3,0,2",27,18,18,18,18
"4,0,0,2,4,2",17,14,15,16,15
"3,2,3,0,0,2",17,14,15,16,15
"0,0,0,2,3,0",13,11,11,11,11
"0,0,0,0,2,3",11,11,11,11,11
"4,3,2,0,1,0",26,16,16,16,16
"4,0,2,4,0,2",20,15,16,18,16
"2,2,4,1,0,4",20,17,17,17,18
"4,3,3,2,2,4",20,18,20,20,20
"2,4,0,0,4,2",17,15,15,17,15
"4,0,1,0,1,4",17,14,14,16,14
"3,4,1,0,3,4",25,19,19,21,19
"3,4,0,2,3,4",25,20,20,22,22
"0,4,3,1,0,2",24,16,16,16,16
"3,4,0,0,3,4",19,16,16,18,16
"4,2,3,1,0,1",26,17,17,17,17
"4,0,1,4,1,0",18,14,14,16,14
"3,1,1,1,1,3",12,11,12,12,12
"4,1,2,4,4,4",17,15,15,15,16
"4,0,0,2,2,4",16,14,15,16,15
"1,1,2,0,2,0",13,11,11,12,12
"1,3,1,2,3,1",18,14,14,15,15
"2,1,1,2,2,1",12,11,12,12,12
"2,2,4,0,1,4",19,17,17,17,18
"0,0,0,2,1,1",10,9,9,9,9
"3,1,1,3,1,0",15,13,13,14,14
"0,0,0,4,4,2",13,13,13,13,13
"3,4,1,3,4,1",22,17,19,20,19
"4,1,2,4,4,3",21,19,19,19,20
"2,0,2,0,2,0",13,10,10,11,10
"2,1,2,1,2,1",14,11,12,12,12
"0,0,0,0,1,2",9,9,9,9,9
"4,0,1,0,4,1",18,14,14,16,14
"4,3,0,2,1,0",26,16,16,16,16
"4,1,2,4,0,4",21,16,16,16,17
"4,0,2,0,4,2",19,15,16,18,16
"4,1,1,0,4,0",17,14,14,16,14
"0,0,0,4,4,3",14,14,14,14,14
"3,0,0,2,3,0",17,13,13,14,14
"4,2,3,4,2,3",23,18,20,20,20
"3,2,3,1,1,2",18,15,17,17,17
"2,4,1,4,2,1",20,16,18,19,18
"2,3,0,0,2,3",17,14,14,16,14
"2,0,2,0,0,2",12,10,10,11,10
"2,2,1,0,1,0",14,12,12,13,13
"0,0,0,0,4,2",13,12,12,12,12
"1,3,2,3,1,2",18,15,16,17,16
"4,2,2,3,4,3",20,17,19,19,19
"0,3,0,0,0,3",11,10,10,11,10
"0,0,2,4,4,2",13,13,13,13,13
"0,1,2,1,1,2",11,10,10,11,10
"3,1,2,0,1,0",20,13,13,13,13
"0,3,1,3,1,0",15,13,13,14,14
"0,0,0,4,4,4",10,10,10,10,10
"4,3,1,2,0,0",25,16,16,16,16
"4,3,1,0,2,1",26,17,17,17,17
"2,0,3,2,2,3",15,13,13,14,14
"0,0,2,1,1,2",11,10,11,11,11
"0,4,1,3,2,0",24,16,16,16,16
"1,4,3,2,0,1",27,17,17,17,17
"4,0,1,1,4,0",17,14,14,16,14
"3,2,0,0,3,2",18,14,15,16,15
"4,3,1,0,2,0",25,16,16,16,16
"3,2,1,3,1,2",20,15,17,17,17
"4,2,3,3,2,4",20,18,20,20,20
"0,2,0,0,2,0",11,9,9,10,9
"0,0,3,0,2,3",15,13,13,14,14
"4,2,1,4,4,3",22,19,19,19,20
"4,1,3,1,3,4",20,17,19,19,19
"1,1,3,0,3,0",14,12,12,13,13
"0,0,2,4,4,3",16,16,16,16,16
"0,1,3,1,2,3",16,14,14,15,15
"0,0,1,1,0,2",10,10,10,10,10
"4,1,3,4,3,1",21,17,19,19,19
"4,3,2,3,1,2",25,19,20,21,21
"3,4,1,2,4,4",22,18,18,18,19
