sequence,move to front,opt,opt free,discrete doa,continuous doa
1433444210,31,28,29,29,29
1222424000,22,20,20,20,20
4101334304,32,25,26,26,26
1044321301,36,29,29,31,31
1204131122,31,23,23,23,23
1010420430,31,24,24,25,25
4021444441,25,21,21,22,21
3024342220,30,25,26,26,26
2421043120,41,29,29,30,30
3223021204,31,26,26,28,27
2443422111,27,24,24,24,24
1232101044,28,24,24,24,24
4414430000,24,21,21,21,21
1003330334,21,19,19,19,19
2243444433,22,21,21,22,21
0342103431,41,29,29,29,29
0334341334,26,22,22,23,22
0112322030,23,20,20,21,21
4031043040,35,25,25,28,27
2131201220,29,22,23,23,23
3203223330,25,21,22,23,23
3300243013,33,25,25,25,25
0020220232,20,17,17,17,17
3044343441,26,23,23,23,23
1412140114,29,22,22,23,23
1013131130,22,19,19,20,19
1421124223,28,24,25,27,25
1210242102,31,23,23,23,23
2124113024,37,28,29,29,29
2020004344,24,21,21,22,21
1343242203,33,27,28,29,29
0130021001,25,18,18,18,18
0320004204,28,22,22,23,22
1143423421,33,28,29,30,29
1022222043,23,21,21,21,21
1424311010,32,26,26,26,26
3411404233,33,28,29,29,29
3443240004,28,25,25,25,25
2040341003,34,25,26,28,26
0044020400,22,19,19,19,19
1443020433,33,27,27,28,28
3142143013,39,29,30,31,30
2242012232,29,22,22,22,22
4422311113,26,25,26,26,26
3103341211,31,25,25,26,25
0033002022,19,18,18,18,18
0110243100,30,22,22,22,22
4030214444,32,24,24,24,24
0121021003,25,20,20,20,20
4104422103,33,29,29,29,29
3411134010,31,25,25,27,25
2420014042,31,25,25,26,25
1130444203,29,26,26,27,27
1113241231,31,23,24,25,24
0320130233,31,23,23,24,24
4401131013,27,24,24,25,24
2433433312,29,26,27,27,27
4242343233,29,24,25,25,25
0220044020,21,20,20,20,20
1202344312,31,28,28,28,28
2213243420,32,27,27,28,27
3103132130,32,24,24,26,24
0342423021,34,29,29,31,31
3042322214,33,27,28,28,28
2243233112,29,25,25,25,25
3114011112,28,21,21,21,21
4140014332,31,28,28,28,28
0111124003,24,21,21,21,21
1003220212,25,19,19,19,19
2242240112,26,23,23,24,23
3244223231,29,27,28,28,28
1413443240,33,28,28,29,29
4341424112,32,26,26,28,26
2124344031,34,29,29,31,31
1141114213,26,23,23,24,23
0212410140,29,23,23,27,25
2310012134,33,26,26,26,26
3220003443,25,23,24,24,24
4421234012,40,30,30,30,30
4010032112,30,22,23,23,23
4122044012,32,27,27,28,27
1013414032,33,29,29,29,29
3033121141,26,23,23,23,23
3101303442,31,26,26,27,26
3044341342,32,27,27,27,27
4203430004,31,25,25,27,26
1011304140,28,23,23,23,23
3343142321,34,28,29,31,29
1321141220,30,23,23,24,23
1432413221,36,27,29,31,30
2024321024,38,27,27,27,27
4134233310,35,28,28,30,30
2313131132,25,21,23,23,23
3243322123,31,25,25,26,25
4143331003,28,25,25,26,25
3033220431,31,27,27,27,27
3214210404,36,27,27,29,28
0113203010,27,21,21,21,21
1043311400,28,25,26,27,27
0013343110,24,21,21,21,21
1210434414,29,23,23,23,23
3100033343,24,20,20,21,20
0344113434,26,23,24,25,25
3220013041,33,26,26,26,26
4030304010,29,23,24,26,24
0443121020,33,27,27,28,28
1000232243,24,21,21,22,21
2041201330,34,24,24,24,24
2221330011,22,21,22,22,22
0031404231,35,28,28,28,28
0202424444,20,18,18,18,18
2402432033,33,26,26,28,26
1401011444,23,19,19,21,19
2200311424,28,25,25,25,25
4314223421,37,29,30,31,30
4120224103,36,28,28,28,28
1311433312,27,23,23,24,23
0132342143,32,27,27,28,27
1443303411,28,25,25,25,25
0443311023,31,29,29,29,29
2011223103,27,23,23,24,24
4211423432,33,27,29,30,30
2334331024,36,29,29,29,29
3334013414,31,25,25,26,26
2034044314,31,25,25,25,25
1012234412,28,24,24,24,24
1332144121,27,25,25,26,26
2413430322,35,28,28,29,29
0121422412,25,21,21,22,21
1333321421,27,23,24,24,24
1010214412,25,22,22,23,23
2241420104,32,26,26,26,26
3014304033,31,23,23,27,24
3121433423,32,26,27,28,28
3011234333,27,23,23,23,23
0142432002,30,25,26,26,26
1422401230,35,28,28,29,29
3040340403,29,23,23,25,23
1043111231,31,23,23,24,24
4211313304,34,27,27,27,27
0241421341,33,25,27,28,27
1040124404,29,22,22,23,22
4330103420,36,28,28,28,28
1002211340,27,24,24,24,24
2111312104,28,23,23,24,24
0413244034,36,27,27,29,29
3023324303,30,24,24,25,25
0011441304,26,22,22,22,22
4102242134,35,28,28,30,29
2433100343,34,26,27,27,27
2430424240,33,26,26,26,26
3200204200,28,21,21,22,21
3313244334,26,24,24,24,24
3422024330,33,27,29,30,29
2332142440,30,27,27,27,27
1143341311,25,22,23,23,23
0210101401,27,20,20,20,20
3143010220,33,25,25,26,25
3003020443,27,23,23,24,23
0432401314,39,29,29,29,29
3141404104,31,24,24,24,24
2223311304,26,26,26,26,26
1103102401,31,23,23,23,23
4303022042,32,25,26,27,26
2400023312,30,24,24,25,24
2340000111,26,20,20,20,20
4234332140,37,31,32,33,32
1432341332,34,27,28,30,29
2233012201,27,24,24,26,26
1423411021,37,27,27,28,28
1200123331,24,20,20,20,20
0223241341,31,25,27,27,27
4310044442,31,24,24,25,25
4141224343,29,26,26,27,27
0144111023,25,25,25,25,25
1023302020,24,20,20,22,20
0411003034,27,23,24,24,24
1340012033,34,24,24,24,24
3443041124,31,28,28,28,28
2300044333,23,21,21,22,21
0023112222,20,17,18,18,18
2141004422,27,23,23,24,23
3001141141,23,19,19,20,19
1313410032,32,26,26,26,26
2121102311,26,20,21,21,21
3413214312,39,28,30,31,30
1412011400,29,22,22,23,22
3122140443,32,28,28,28,28
0343124014,37,29,29,30,31
1104244314,30,24,24,24,24
2312202400,30,23,23,23,23
3131122433,27,24,25,25,25
4043431431,31,26,26,27,26
3432221323,31,25,25,25,25
0144403002,26,23,23,23,23
0101010214,24,20,20,20,20
1041120444,27,22,22,23,22
2322213010,27,22,23,23,23
1423003441,34,28,28,29,28
0413004213,38,28,28,28,28
3330144021,29,27,27,27,27
2113102322,28,22,22,22,22
3341212114,29,25,27,28,27
4421330104,35,30,30,31,32
0423303202,30,24,24,24,24
1110141400,21,19,19,19,19
2433422144,29,27,28,28,28
3313232022,25,21,21,21,21
2224341213,32,27,29,29,30
2134341414,28,24,24,25,24
0311113020,22,20,20,21,20
1330221101,25,23,23,23,23
2032131320,30,26,26,27,27
3324313204,38,30,30,30,30
1012143114,28,23,23,24,23
0111311022,20,17,17,17,17
1133431222,25,22,22,22,22
4004114344,24,22,22,23,22
4001331424,30,26,27,27,27
3331043022,30,24,24,24,24
4330241122,33,28,29,29,29
3143242210,35,30,30,32,31
1304201300,36,24,24,24,24
2001034410,29,23,23,23,23
1313444234,28,24,24,24,24
4430020114,33,26,26,26,26
1142012000,28,21,21,21,21
0411403014,30,25,25,26,25
3000343220,27,23,23,24,23
0440040234,27,24,24,24,24
3210323022,33,24,24,26,25
3243221133,30,25,26,26,26
4004240201,28,24,24,25,24
0423324012,34,29,29,31,31
3113123231,26,22,23,24,23
3102134020,38,26,26,26,26
1043003334,25,21,22,24,22
2202233334,21,20,20,20,20
3124231412,36,27,28,29,29
0213443000,26,23,23,23,23
4042020413,32,28,28,30,28
3404312432,37,30,30,30,30
0123214022,30,23,23,23,23
2242031331,29,24,24,25,24
1124423403,30,27,27,27,27
3130010121,26,21,21,22,21
3213144220,33,28,29,29,29
1122034201,32,25,25,25,25
2421311013,32,25,25,26,26
3411313131,27,21,22,22,22
1144310304,30,26,26,27,26
0430202401,35,26,26,27,26
1434121212,30,25,25,25,25
2121144210,27,24,25,25,25
4240120412,37,28,28,29,29
1243423321,30,27,28,29,28
1003213241,32,24,26,26,26
2004104233,31,26,26,26,26
0242200243,26,24,24,26,24
2304201230,39,26,26,27,26
0242202041,26,23,23,25,23
3234143103,36,28,28,29,29
1311442303,31,27,27,28,28
3004331430,30,24,24,26,24
4200001331,27,21,21,21,21
4204014324,37,28,28,28,29
1322234342,26,24,25,25,25
4302121130,36,26,26,27,27
0012023314,26,24,24,24,24
3412214330,34,30,31,33,31
2112133434,25,22,23,23,23
2222421123,25,22,22,22,22
4421014211,32,25,25,25,25
3412032130,42,29,29,30,29
1402112440,30,25,25,27,26
3001233124,30,26,26,26,26
1432004130,41,28,28,28,28
1403010344,31,24,25,26,25
1421120034,32,27,27,28,27
4243113043,36,29,30,30,30
2013232022,27,21,21,22,22
3132243032,33,26,26,26,27
0232332242,23,21,21,21,21
0142132433,31,25,26,26,27
4140214331,34,27,28,28,28
2434132422,34,28,28,29,28
2141111002,25,20,20,20,20
0002404204,25,20,20,21,20
4414121333,26,24,24,24,24
4041444310,28,24,24,25,24
0043032141,34,27,27,27,27
2134430302,32,28,28,28,28
2440311410,33,26,26,26,26
2244204012,28,25,25,25,25
3010120141,30,22,22,22,22
2112311210,26,20,21,21,21
4142030422,34,27,27,28,27
4431241132,36,29,30,31,30
4024212343,33,27,28,28,29
0044400410,20,18,18,18,18
1321133244,27,24,24,26,25
0033314141,22,20,20,21,20
4130204403,36,28,28,29,29
3244442143,30,26,27,27,27
0011301302,25,21,21,21,21
4141013240,37,28,28,29,28
4423202113,33,29,29,30,30
0444104314,29,23,23,23,23
0310022220,21,17,17,17,17
4132214001,35,28,28,28,28
3424042211,32,26,26,27,26
4014424131,30,25,25,26,25
0000420422,23,19,20,21,20
0040122130,28,23,23,23,23
3134304200,32,26,26,27,27
2013203221,31,24,24,24,24
0002404301,29,23,23,24,23
4133211411,30,25,26,26,26
0140144101,25,21,21,22,21
4331411011,28,24,25,26,27
3333101414,24,22,22,22,22
1212343212,29,24,24,24,24
2234322440,27,25,25,26,25
0133343002,26,22,22,22,22
2221033001,22,21,22,22,22
3324133344,29,24,24,25,25
4321403233,42,30,30,30,30
3342230441,33,30,31,31,31
3312222424,24,23,23,23,23
1240004431,29,24,24,25,24
3131000130,24,20,20,21,20
4241320000,32,26,26,27,27
1341203322,34,26,26,26,26
2142212330,31,25,25,26,25
1310421023,37,27,27,27,27
4141040300,28,24,24,25,24
0420114140,29,23,23,24,23
0440402332,25,24,24,24,24
4404103241,36,27,27,27,27
3413231441,33,27,28,29,29
1300211021,28,20,20,20,20
0113420001,30,22,22,22,22
3334211140,31,27,28,28,28
1314422024,30,25,25,25,25
1211114113,23,20,20,20,20
3002310333,27,20,20,22,21
4441434423,28,25,25,26,25
4030412004,35,25,25,26,25
3144120334,36,29,29,29,29
2344043200,31,26,26,28,26
4201232242,34,26,26,26,26
2320123121,31,23,23,23,23
3042114000,31,24,24,25,24
3203403134,36,27,27,29,28
4133113123,29,24,24,24,24
4103311332,29,24,24,24,24
4242420420,29,23,24,24,24
2214112332,26,23,23,23,23
1023412142,33,25,25,28,26
3413330140,32,25,25,26,26
0402231121,29,22,22,22,22
4141314113,28,23,24,25,24
1434122324,33,27,28,28,28
0011112001,17,15,15,15,15
0023120023,27,22,22,22,22
4202312230,35,26,26,26,26
0232141141,26,22,22,23,22
2030001204,29,22,22,22,22
1221411430,28,26,26,27,26
3310212424,29,26,26,26,26
4232242343,30,24,26,27,26
0000340021,27,20,20,20,20
0043110134,30,24,25,26,25
2330343404,27,23,23,23,23
4044023334,27,24,24,24,24
0221243320,29,24,24,24,24
3020002220,20,17,17,18,17
3012243313,31,25,25,25,25
2122101044,24,22,22,23,22
3432034022,35,27,28,29,28
1431023041,41,29,29,29,29
3340332042,32,26,27,27,28
1131014343,27,22,23,24,23
0134430303,25,22,22,23,22
2304022333,28,22,22,24,22
0244342214,29,25,25,25,25
0113330314,23,21,21,21,21
1444124404,25,21,21,21,21
0113433341,22,21,21,22,21
2134130230,37,27,27,27,27
0241124130,33,27,27,29,28
0034330112,27,23,23,23,23
1232424030,31,26,26,27,26
0340134334,30,24,24,27,24
1203430244,31,26,26,28,26
1012100003,21,18,18,18,18
0240422102,29,23,23,24,23
4041343430,30,25,25,25,25
1032311100,25,21,21,21,21
0230443141,30,25,25,25,25
3420411330,37,29,29,30,29
1110321031,29,21,21,21,21
3120210304,34,26,26,27,26
2441443014,34,25,25,25,25
1122321224,24,21,21,21,21
4120113323,32,24,24,24,24
1314341030,31,26,26,27,27
1434343344,24,21,22,22,22
1204321131,33,25,25,26,26
0123330214,28,26,26,26,26
4013204222,34,25,25,25,25
2412201220,30,22,22,22,22
1414211001,26,22,22,23,22
1303042112,31,25,26,27,26
3431201121,34,26,26,27,27
0104403322,25,24,24,24,24
0230133224,29,25,25,26,25
3132211432,31,26,27,27,27
1024013244,35,27,27,27,27
4023400110,33,25,25,25,25
0444102133,27,25,25,25,25
1322041202,35,24,24,24,24
1313402041,34,28,28,30,29
4340112044,33,27,27,27,27
1202024112,27,22,22,22,22
4200040440,24,20,20,21,21
0103042030,30,22,22,23,23
1324010324,42,30,30,30,30
2030312322,27,22,22,22,22
0320334303,28,22,22,23,23
4142313010,35,28,28,30,28
0431000444,27,21,21,22,22
3030314022,30,24,24,25,24
0112010304,26,22,22,22,22
0224000302,26,21,21,21,21
3310440231,34,30,30,30,30
0042140013,31,25,25,26,25
1420401312,36,27,27,29,27
0444424432,24,22,22,23,22
0331023221,27,23,23,23,23
3024002020,28,21,21,22,21
4131420241,37,29,30,30,30
1010104221,26,21,21,21,21
4043321322,32,28,28,28,28
1004024241,27,23,23,24,24
0134144134,26,22,22,24,22
0320213303,29,22,22,23,22
2113313142,27,24,25,25,25
3111103342,27,24,24,25,24
3232042200,28,23,24,25,24
0123102104,32,24,24,24,24
2423121401,37,28,28,28,28
2000014143,25,22,22,22,22
0243102000,33,22,22,22,22
3223313120,27,25,26,26,26
2110232012,29,22,22,22,22
1124201441,28,24,24,25,24
0023232312,24,20,20,21,20
0300422103,33,25,25,25,25
3130113033,25,20,21,21,21
0442421431,30,26,26,27,26
3234302444,31,26,26,28,26
1144101422,24,22,22,22,22
4000134233,30,25,25,25,25
4122040034,32,26,26,28,26
2203332020,22,20,20,20,20
0110314021,31,22,22,22,22
1144231424,32,25,25,26,25
4023243431,34,28,29,30,30
0121234101,30,23,23,24,23
0202123241,28,23,23,24,23
4131320031,35,27,27,27,27
0122402321,31,23,23,23,23
0244143133,27,24,24,24,25
4201333121,31,24,24,24,24
1124112303,30,24,24,25,24
0432240344,32,26,28,28,28
4440410312,30,26,26,26,26
4321411132,36,26,29,29,29
0343233121,30,24,25,25,25
2440100002,25,22,22,22,22
4003313141,28,23,24,24,24
4441422242,22,20,20,20,20
4100240303,32,25,25,25,25
3030401013,29,23,23,24,23
4311213231,33,25,26,27,26
4042433000,27,24,24,24,24
4233110012,33,27,27,27,27
3430223233,28,23,23,23,23
4121130230,35,25,26,26,26
2233202202,21,19,19,20,19
3120314020,39,26,26,26,26
4200310210,36,23,23,23,23
3032240132,37,27,27,27,27
1412044212,31,25,25,26,25
1033031024,28,25,25,25,25
4444040333,21,20,20,20,20
4330121042,37,30,30,31,30
4244433211,28,27,27,28,27
0324343143,32,25,25,26,25
2000002203,18,17,17,18,17
0114402123,28,26,26,26,27
2334234031,34,29,29,30,29
4333012042,35,28,28,28,28
4141302411,37,26,27,27,27
2400402244,24,21,21,23,21
4210034303,35,25,25,25,25
1140122130,30,24,24,24,24
0440341323,31,27,27,27,28
4412342014,39,29,29,30,29
3112012412,33,24,24,24,24
3224022204,28,23,23,26,23
2301034210,39,26,26,26,26
0403412210,33,27,27,28,27
0420402210,29,23,23,26,23
0331411003,26,23,23,23,23
4434032303,31,26,26,27,26
4014130403,33,26,26,29,27
1341241321,36,26,28,30,28
3213334232,31,25,25,26,26
0043221443,32,27,29,29,29
0230103301,26,21,21,22,21
1122322332,19,18,18,19,18
4331211232,30,25,25,26,25
0430313302,31,24,24,24,24
2230014413,28,26,26,27,27
4421213034,35,31,31,32,32
3133302102,28,23,23,24,25
2131413201,35,26,26,28,27
4213112430,37,30,30,31,31
0401101332,27,22,22,22,22
2002210221,22,18,18,19,18
0033023404,27,23,23,23,24
3244243442,27,23,24,24,24
2003441034,33,25,25,26,25
4311103330,27,22,22,23,22
2312141301,35,26,26,27,27
2332122132,25,22,22,23,22
0103022421,28,22,22,22,22
4021443401,36,27,27,28,27
2200321334,27,25,25,26,26
2314314241,34,27,29,29,29
0443003310,26,24,24,25,25
1304134101,34,25,25,27,25
4314214232,37,29,30,32,30
2330012141,29,25,25,25,25
0402133111,26,21,21,21,21
3440303121,31,28,28,29,28
0433024443,30,25,26,26,26
4223113314,30,26,28,28,28
1030102402,30,22,22,22,22
2041313103,32,24,24,24,24
4143442423,30,26,27,28,28
1424441003,28,25,25,25,25
1214400134,30,26,26,26,26
2312200031,29,23,23,23,23
0401112142,26,21,21,22,21
1410332420,34,28,28,28,28
1132030213,31,25,25,27,27
0423204244,31,24,25,25,25
2144444221,22,21,21,22,21
0313343313,24,20,20,21,21
3320124322,33,26,26,27,27
1002200020,17,15,15,15,15
2422233231,27,23,23,23,23
3140000310,30,21,21,22,21
2303243042,34,28,28,28,28
2424001022,27,23,23,24,23
0442104443,30,24,24,24,24
4132200404,34,26,26,26,26
4303142334,36,28,29,30,29
1422130434,35,29,29,29,29
2022411024,30,25,25,26,25
2111220310,25,21,22,22,22
3343342120,32,29,29,30,29
3024224133,31,27,27,28,27
4324243100,36,31,31,34,32
3402101201,36,24,24,24,24
2010032231,26,22,23,23,23
2212334231,29,24,24,25,24
2001031203,30,22,22,22,22
3134231044,37,29,29,30,30
1220404422,23,21,21,21,21
3332413031,34,25,25,25,25
4230104132,42,30,30,30,30
2232141333,27,23,24,24,24
0003312104,26,24,24,24,24
0144443440,23,20,20,20,20
1220213102,28,22,22,22,22
0033231104,27,24,24,24,24
1203441222,30,25,25,25,25
1134131142,29,25,25,27,25
1331001302,25,23,23,23,23
3001142112,27,21,21,22,21
0302402030,30,22,23,24,23
4110421014,33,24,24,25,24
4343040403,29,25,25,27,25
2321031233,32,25,25,26,25
3022302034,30,25,26,27,26
1331004341,28,26,26,26,27
3144142321,32,27,28,28,28
3231011203,32,26,26,27,26
1334014302,36,29,29,30,29
1422432340,32,28,29,29,29
4303143031,36,26,27,27,27
3222423132,30,24,25,25,25
4321224204,37,27,28,28,28
2002430030,27,21,21,23,21
2421242331,31,26,27,29,27
3441444042,29,23,23,23,23
4020242143,32,27,28,29,29
2102214334,29,25,26,26,26
4401032242,31,26,26,26,26
4044112012,28,24,24,25,25
4130201022,34,23,23,23,23
2001202110,24,19,19,20,19
3203234122,34,26,27,28,28
3232311014,30,27,27,28,27
2332232241,26,24,24,24,24
0301304111,27,21,21,22,21
1004043210,34,25,25,26,25
4422122304,33,27,27,27,27
1442231140,32,29,29,29,29
0333244440,23,22,22,22,22
4320000032,29,22,23,24,23
3032420202,29,23,23,25,23
0231003034,29,23,23,24,23
4123311423,34,27,28,29,28
3430010031,28,23,23,23,23
2100101002,22,17,17,17,17
3400420313,34,27,27,29,28
4320131012,39,26,26,26,26
1444102031,29,26,26,26,26
3133233024,29,25,25,26,26
0333440001,22,22,22,22,22
3343010401,30,24,24,26,24
4322313023,37,26,27,27,27
0343443113,24,23,23,23,23
3411421104,34,25,26,26,26
0004210032,30,22,22,22,22
0043433220,27,25,26,26,26
4001243221,32,25,25,25,25
1211334403,27,24,24,24,24
2231242402,32,24,24,25,24
1414240341,34,26,26,26,26
1203124411,30,24,24,24,24
1344324244,27,24,24,25,24
0341234011,38,28,28,28,28
1320112031,33,23,23,23,23
2444122314,30,27,27,28,27
3200300123,30,23,23,24,24
2234440130,31,27,27,28,28
4144301423,38,30,30,30,31
4001342003,35,26,26,27,27
4303012330,35,25,25,25,25
0032210124,29,24,24,24,24
0414332322,27,25,25,25,26
3034202140,37,28,28,31,29
0142140212,32,24,24,26,24
4204313411,34,27,28,29,29
1043000024,29,23,23,24,24
2020113000,22,19,19,20,19
2213301433,29,25,25,25,25
4403402302,34,27,28,28,28
4241413224,33,27,28,29,28
3202330304,29,24,25,26,25
0120031033,25,19,19,20,19
4203034400,30,24,25,26,25
3243040012,36,29,29,31,30
2131104304,32,25,25,26,26
1010143202,32,23,23,23,23
1012222341,25,22,22,22,22
3323300231,26,23,23,23,23
3334333211,26,22,22,22,22
0300344223,25,24,24,25,24
3040033432,28,24,24,27,24
0241314012,36,27,27,28,28
1201202301,30,22,22,23,22
0401022404,27,22,22,23,23
3022340204,32,25,26,27,26
4121442133,30,26,27,28,27
4344130130,33,27,28,29,29
3024140311,36,27,27,28,27
1100304244,25,22,22,22,22
4011410341,32,24,24,25,24
1340024043,33,26,26,28,28
0310423000,32,23,23,23,23
2020442433,26,23,23,23,23
1443004323,31,27,27,28,27
4143133030,29,25,25,26,25
3030422100,31,25,25,26,25
1310103010,25,19,19,20,19
0030014414,22,19,19,19,19
4221330234,37,28,28,28,28
0332102131,30,24,24,24,24
4120030011,30,21,21,21,21
