sequence,move to front,opt,opt free,discrete doa,continuous doa
4024301144,34,26,26,26,26
3032100033,27,20,20,21,20
3233400202,29,24,24,25,24
1124412434,28,24,24,24,24
4121442113,30,26,27,28,27
3431122311,29,25,25,25,25
2331223324,27,25,25,25,25
3311332032,26,23,23,24,24
4210144214,34,25,25,26,25
4004401014,23,21,21,22,21
4423334132,32,28,28,29,29
0231020403,34,25,25,25,25
4103133422,32,27,27,27,27
2231232104,32,27,27,28,27
4144210213,33,28,29,30,29
3201234113,35,26,26,27,26
4334123220,34,29,29,30,30
0244032024,31,26,26,27,26
0010102404,23,19,19,19,19
4102034021,39,27,27,28,27
2300301044,27,22,22,23,22
1220140333,27,23,23,23,23
2214134133,29,24,25,26,25
3440443110,28,25,25,26,25
0043213244,33,26,28,28,28
2114044324,32,26,26,26,26
3332310422,31,26,26,26,26
1123131021,28,22,22,23,22
4241132030,35,29,29,31,31
3244140121,35,27,27,27,27
3013432210,34,28,28,29,28
2330131133,24,20,20,20,20
4134234414,34,27,27,29,27
2220432104,36,27,27,27,27
1023212110,26,21,21,21,21
2402021410,32,24,24,26,24
2240133432,33,27,27,27,27
0040020124,27,22,22,23,22
1242223211,26,21,21,21,21
4341304003,33,26,27,27,27
4400111012,22,21,21,21,21
2322413010,34,26,27,27,27
0014204234,31,25,25,26,25
3342324220,30,26,27,27,27
4421304010,37,27,27,27,27
0232433144,28,25,25,26,26
1242402200,25,21,21,23,21
2032212344,28,24,24,25,25
4231413030,37,28,28,29,29
0140342004,32,24,24,25,24
0021023434,27,23,23,23,23
1114011134,26,22,22,23,23
3004231341,35,27,28,29,29
4021322031,35,27,27,27,27
3433111204,33,28,28,28,28
1143411311,25,21,22,23,22
1211200003,20,19,19,20,19
3433244330,29,25,25,26,25
4003342232,28,24,25,26,25
4404240444,23,19,19,19,19
1010313342,28,24,24,24,24
2114222241,23,21,22,23,23
3123134413,31,26,26,27,27
3222300422,26,23,24,24,24
1433224114,29,27,28,29,29
2230402131,34,26,26,26,26
1033130143,29,23,23,23,23
2331404304,34,26,26,26,26
2123330431,31,25,25,26,26
4234301221,36,30,30,32,32
2040400422,23,20,20,22,20
3222031003,27,22,23,24,24
3032244232,26,24,24,24,24
2312211213,25,21,22,23,22
1320200121,28,21,21,22,21
4400234032,33,28,28,29,28
1330003004,22,20,20,20,20
4321022211,34,24,24,24,24
0420213012,35,25,25,25,25
4303144343,31,25,26,26,26
2222402231,28,22,22,22,22
2240031111,26,22,22,22,22
3003014303,29,22,22,23,22
4011003401,30,23,23,24,24
0100203402,27,21,21,22,21
3331344002,27,25,25,25,25
3131033004,26,23,23,25,23
4322304133,36,29,30,30,30
1330324443,26,23,23,23,23
3040333041,27,24,24,27,24
0413402343,36,28,28,29,29
0320141042,33,26,26,26,26
4131024243,38,30,30,30,30
3231313321,27,22,23,24,23
4112013010,33,23,23,23,23
1444432231,27,26,27,27,27
3120302204,32,25,25,26,25
3214230134,42,31,32,34,34
1224304131,35,28,29,30,30
0210323114,30,25,25,25,25
